"","train_cindex","test_cindex","Model"
"136",0.593965025341523,0.560028964518465,"Enet(alpha=0.9)+superpc"
"137",0.74061021045212,0.659377262853005,"Enet(alpha=1)+StepCox(both)"
"138",0.74061021045212,0.659377262853005,"Enet(alpha=1)+StepCox(backward)"
"139",0.743899573725372,0.668935553946416,"Enet(alpha=1)+StepCox(forward)"
"140",0.73466921760145,0.673135409123823,"Enet(alpha=1)"
"141",0.742456281676904,0.675597393193338,"Enet(alpha=1)+CoxBoost"
"142",0.938206961366764,0.668935553946416,"Enet(alpha=1)+RSF"
"143",0.743899573725372,0.669370021723389,"Enet(alpha=1)+plsRcox"
"144",0.554929010170174,0.582766111513396,"Enet(alpha=1)+Survivalsvm"
"145",0.863927768267714,0.668356263577118,"Enet(alpha=1)+GBM"
"146",0.593260161782969,0.578421433743664,"Enet(alpha=1)+superpc"
"147",0.74061021045212,0.659377262853005,"CoxBoost+StepCox(both)"
"148",0.74061021045212,0.659377262853005,"CoxBoost+StepCox(backward)"
"149",0.742053502500587,0.674728457639392,"CoxBoost+StepCox(forward)"
"150",0.739166918403652,0.673280231716148,"CoxBoost+Enet(alpha=0)"
"151",0.739636827442688,0.67762490948588,"CoxBoost+Enet(alpha=0.1)"
"152",0.740006041687645,0.675887038377987,"CoxBoost+Enet(alpha=0.2)"
"153",0.741550028530192,0.676611151339609,"CoxBoost+Enet(alpha=0.3)"
"154",0.739234048266371,0.674728457639392,"CoxBoost+Enet(alpha=0.4)"
"155",0.738931963884134,0.675162925416365,"CoxBoost+Enet(alpha=0.5)"
"156",0.741113684422515,0.673859522085445,"CoxBoost+Enet(alpha=0.6)"
"157",0.741080119491156,0.674293989862419,"CoxBoost+Enet(alpha=0.7)"
"158",0.740744470177559,0.676031860970311,"CoxBoost+Enet(alpha=0.8)"
"159",0.740140301413084,0.674728457639392,"CoxBoost+Enet(alpha=0.9)"
"160",0.741147249353875,0.672556118754526,"CoxBoost+Enet(alpha=1)"
"161",0.736515288826234,0.67038377986966,"CoxBoost"
"162",0.938441915886282,0.659811730629978,"CoxBoost(alpha=1)+RSF"
"163",0.741952807706508,0.674583635047067,"CoxBoost+plsRcox"
"164",0.540932433793173,0.627226647356988,"CoxBoost+Survivalsvm"
"165",0.899204511126775,0.658653149891383,"CoxBoost+GBM"
"166",0.617091263048367,0.582331643736423,"CoxBoost+superpc"
"167",0.735575470748162,0.617813178855902,"RSF+StepCox(both)"
"168",0.738864834021414,0.610427226647357,"RSF+StepCox(backward)"
"169",0.770583694156346,0.636929761042723,"RSF+StepCox(forward)"
"170",0.737757191286544,0.670528602461984,"RSF+Enet(alpha=0)"
"171",0.739703957305407,0.679797248370746,"RSF+Enet(alpha=0.1)"
"172",0.739569697579968,0.678783490224475,"RSF+Enet(alpha=0.2)"
"173",0.738596314570537,0.677335264301231,"RSF+Enet(alpha=0.3)"
"174",0.73943543785453,0.676755973931933,"RSF+Enet(alpha=0.4)"
"175",0.737220152384788,0.676176683562636,"RSF+Enet(alpha=0.5)"
"176",0.734602087738731,0.675452570601014,"RSF+Enet(alpha=0.6)"
"177",0.733964354042896,0.67400434467777,"RSF+Enet(alpha=0.7)"
"178",0.734937737052328,0.673859522085445,"RSF+Enet(alpha=0.8)"
"179",0.739938911824925,0.674149167270094,"RSF+Enet(alpha=0.9)"
"180",0.73466921760145,0.673135409123823,"RSF+Enet(alpha=1)"
"181",0.735172691571846,0.671252715423606,"RSF(alpha=1)+CoxBoost"
"182",0.950357466518981,0.63519188993483,"RSF"
"183",0.770248044842748,0.638667632150616,"RSF+plsRcox"
"184",0.495519081663478,0.527154236060825,"RSF+Survivalsvm"
"185",0.887758869533112,0.655901520637219,"RSF+GBM"
"186",0.626757963279965,0.618971759594497,"RSF+superpc"
"187",0.770248044842748,0.638667632150616,"plsRcox"
"188",0.495519081663478,0.527154236060825,"Survivalsvm"
"189",0.887557479944953,0.655322230267922,"GBM"
"190",0.615983620313497,0.619551049963794,"superpc"
